location,mission,premium+,type,author,description,level,song
guitar-learn-missions-rhythm,strumming challenge,FALSE,trainer,-,-,5,trainer: transition strums
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,the yousicians,full cowboy chords,5,dame mas reggae
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,traditional,full cowboy chords,5,el condor pasa
guitar-learn-missions-rhythm,strumming challenge,FALSE,video,-,-,5,video: syncopated strumming
guitar-learn-missions-rhythm,strumming challenge,FALSE,trainer,-,-,5,trainer: syncopated strumming
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,the yousicians,full cowboy chords,5,stardomite
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,the yousicians,full cowboy chords,5,funky tractor
guitar-learn-missions-rhythm,strumming challenge,FALSE,video,-,-,5,video: shuffle rhythms
guitar-learn-missions-rhythm,strumming challenge,FALSE,trainer,-,-,5,trainer: shuffle rhythms
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,the yousicians,full cowboy chords,5,robot walk
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,the yousicians,full cowboy chords,5,bard's rock
guitar-learn-missions-rhythm,strumming challenge,FALSE,video,-,-,5,video: using a capo
guitar-learn-missions-rhythm,strumming challenge,FALSE,trainer,-,-,5,trainer: using a capo
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,the yousicians,capo cowboy chords,5,"rest now, human"
guitar-learn-missions-rhythm,strumming challenge,FALSE,song,traditional,cowboy chords,5,la bamba (slow)
guitar-learn-missions-lead,skill test (lead level 6),FALSE,song,traditional,main melody,6,when johnny comes marching home
guitar-learn-missions-lead,slides,FALSE,video,-,-,6,video: slides
guitar-learn-missions-lead,slides,FALSE,trainer,-,-,6,trainer: legato slides
guitar-learn-missions-lead,slides,FALSE,song,the yousicians,legato melody,6,cowboy exit music
guitar-learn-missions-lead,slides,FALSE,song,the yousicians,sliding melody,6,barre your soul
guitar-learn-missions-lead,slides,FALSE,trainer,-,-,6,trainer: shifting slides
guitar-learn-missions-lead,slides,FALSE,song,the yousicians,melody,6,alabama sunrise
guitar-learn-missions-lead,slides,FALSE,song,the yousicians,legato melody,6,freewheelin'
guitar-learn-missions-lead,slides,FALSE,trainer,-,-,6,trainer: two-way slides
guitar-learn-missions-lead,slides,FALSE,song,the yousicians,melody,6,hammer song
guitar-learn-missions-lead,slides,FALSE,song,the yousicians,melody,6,don't hurry
guitar-learn-missions-lead,fretting skills,FALSE,video,-,-,6,video: rolling fingers
guitar-learn-missions-lead,fretting skills,FALSE,trainer,-,-,6,trainer: rolling fingers
guitar-learn-missions-lead,fretting skills,FALSE,song,traditional,melody,6,danny boy
guitar-learn-missions-lead,fretting skills,FALSE,song,traditional,main melody,6,black eyes
guitar-learn-missions-lead,fretting skills,FALSE,video,-,-,6,video: fretting speed
guitar-learn-missions-lead,fretting skills,FALSE,song,the yousicians,melody,6,life is a poem
guitar-learn-missions-lead,fretting skills,FALSE,song,the yousicians,melody,6,new dawn
guitar-learn-missions-lead,fretting skills,FALSE,song,the yousicians,melody,6,sunny days
guitar-learn-missions-knowledge,skill test (knowledge level 6),FALSE,quiz,-,-,6,quiz: knowledge review
guitar-learn-missions-rhythm,skill test (rhythm level 6),FALSE,song,the yousicians,cowboy chord riff,6,rusty ground
guitar-learn-missions-rhythm,skill test (rhythm level 6),FALSE,trainer,-,-,6,chord trainer: cowboy & power
