year,week,challenge,weeks ago,guitar,piano,ukulele,bass,voice
2016,7,wishing in the night,162,TRUE,TRUE,TRUE,FALSE,FALSE
2016,6,happy valentine's day,163,TRUE,TRUE,TRUE,FALSE,FALSE
2016,5,the ragtime challenge,164,TRUE,TRUE,TRUE,FALSE,FALSE
2016,4,lazing on the caribbean,165,TRUE,TRUE,TRUE,FALSE,FALSE
2016,3,one for bowie,166,TRUE,TRUE,TRUE,FALSE,FALSE
2016,2,one for lemmy,167,TRUE,TRUE,TRUE,FALSE,FALSE
2016,1,power thru - the power metal challenge,168,TRUE,TRUE,TRUE,FALSE,FALSE
2015,53,groovin' into 2016!,169,TRUE,TRUE,TRUE,FALSE,FALSE
2015,52,happy holidays,170,TRUE,TRUE,TRUE,FALSE,FALSE
2015,51,showed in - warm up for the holidays,171,TRUE,TRUE,TRUE,FALSE,FALSE
2015,50,argentine tango - celebrating the 125th birthday of carlos gardel,172,TRUE,TRUE,TRUE,FALSE,FALSE
2015,49,the jazzy holidays,173,TRUE,TRUE,TRUE,FALSE,FALSE
2015,48,the chanson,174,TRUE,TRUE,TRUE,FALSE,FALSE
2015,47,the nova bossa,175,TRUE,TRUE,FALSE,FALSE,FALSE
2015,46,the pop star - the sequel,176,TRUE,TRUE,FALSE,FALSE,FALSE
2015,45,the pop star pt. 1,177,TRUE,TRUE,FALSE,FALSE,FALSE
2015,44,the halloween,178,TRUE,TRUE,FALSE,FALSE,FALSE
2015,43,meet the liverpool,179,TRUE,TRUE,FALSE,FALSE,FALSE
2015,42,super chiptunes,180,TRUE,TRUE,FALSE,FALSE,FALSE
2015,41,big vintage rock,181,TRUE,TRUE,FALSE,FALSE,FALSE
2015,40,rockabilly rumble,182,TRUE,TRUE,FALSE,FALSE,FALSE
2015,39,celtic classics,183,TRUE,FALSE,FALSE,FALSE,FALSE
2015,38,playing for change,184,TRUE,FALSE,FALSE,FALSE,FALSE
2015,37,smells like grunge spirit - the grunge challenge,185,TRUE,FALSE,FALSE,FALSE,FALSE
